,Compound,Date,Negative,Network,Neutral,Positive,Tweet Text,Tweets Ago
0,-0.4069,Sun Mar 04 23:25:00 +0000 2018,0.13,@FoxNews,0.791,0.079,"TONIGHT: A special 2-hour SCANDALOUS - First, Episode 6: 'Impeachment,' then the all-new finale: 'The Show That Never Ends' - It all begins at 7p ET on Fox News Channel! https://t.co/e6GpLv4qQ3 https://t.co/OvOl2ROdDY",1
1,0.7269,Sun Mar 04 23:19:46 +0000 2018,0.0,@FoxNews,0.621,0.379,"Orphaned baby chimp rescued from poacher, snuggles pilot on rescue flight https://t.co/dQf0VI8myx",2
2,0.4215,Sun Mar 04 23:13:19 +0000 2018,0.145,@FoxNews,0.542,0.313,".@POTUS, @netanyahu to meet amid growing uncertainty on Mideast peace deal https://t.co/7vUBvgodg7",3
3,0.0,Sun Mar 04 23:10:13 +0000 2018,0.0,@FoxNews,1.0,0.0,"During Saturday's Gridiron Dinner, President @realDonaldTrump said he ""won't rule out direct talks with Kim Jong Un."" #FoxReport https://t.co/p4TyguSns4 https://t.co/XEis1P3dOy",4
4,-0.7906,Sun Mar 04 23:03:00 +0000 2018,0.35,@FoxNews,0.65,0.0,OPINION: An attack on North Korea could start a US-China war -- Don't do it  https://t.co/L2B5a9rK5q,5
5,0.0,Sun Mar 04 22:49:06 +0000 2018,0.0,@FoxNews,1.0,0.0,".@united flight experiences extreme turbulence, ‘entire flight threw up’ https://t.co/A25PG6ArpI",6
6,0.0,Sun Mar 04 22:48:43 +0000 2018,0.0,@FoxNews,1.0,0.0,Ryan Seacrest expected to get cold shoulder on Oscars red carpet https://t.co/3YlIAtCJT8,7
7,-0.5267,Sun Mar 04 22:40:34 +0000 2018,0.239,@FoxNews,0.761,0.0,".@TomFitton: ""The dossier is the reason for the Mueller investigation. No dossier, no Mueller investigation."" https://t.co/Tib2O9hrhv",8
8,0.0,Sun Mar 04 22:30:12 +0000 2018,0.0,@FoxNews,1.0,0.0,"On ""Sunday Morning Futures with @MariaBartiromo,"" @GovMikeHuckabee defended @NRA members against those who call them ""nuts."" https://t.co/GxCCG94QNQ https://t.co/bQJdETDUI1",9
9,0.4215,Sun Mar 04 22:28:05 +0000 2018,0.145,@FoxNews,0.542,0.313,"Trump, Netanyahu to meet amid growing uncertainty on Mideast peace deal https://t.co/BSdUZeUxZl",10
10,0.0,Sun Mar 04 22:19:46 +0000 2018,0.0,@FoxNews,1.0,0.0,"First woman to try to enter Corps of Cadets says she considers herself alum of The Citadel
https://t.co/ZfOrB0bPOn",11
11,0.802,Sun Mar 04 22:11:35 +0000 2018,0.0,@FoxNews,0.745,0.255,"Yesterday, @VP Mike Pence tweeted a message of optimism, celebrating Fiat Chrysler's decision ""to move their entire production line from MEXICO TO MICHIGAN."" https://t.co/xYDi7YSHno",12
12,-0.34,Sun Mar 04 22:03:53 +0000 2018,0.211,@FoxNews,0.789,0.0,Instant Pot recall: this model may be a fire hazard https://t.co/jxi6wuphRV,13
13,-0.8658,Sun Mar 04 21:56:58 +0000 2018,0.492,@FoxNews,0.508,0.0,Elderly Minnesota man suffers facial fractures in beating after road rage incident https://t.co/6ywsj63qxn,14
14,0.4019,Sun Mar 04 21:49:16 +0000 2018,0.0,@FoxNews,0.828,0.172,Poll: Which party would you vote for if the Congressional election were today? https://t.co/v1w3LGDkF0,15
